ID,Posted at,Screen name,Text
739141461166428160,2016-06-04 17:07:11 +0000,landryzachary1,"Sweet, do you want play with me? i learn hear #EIJC16 https://t.co/7WoIYKCz2U#GFDHT3x780 https://t.co/XF8bBCPXYX"
739131680125030400,2016-06-04 16:28:19 +0000,joncamfield,RT @roryireland: At #EIJC16? Umbrella App has free physical and digital security lessons and checklists for journalists in the field https://t.co/4kDMrEXalK
739131131568754688,2016-06-04 16:26:08 +0000,oliverpowell203,"#EIJC16  Cute, do you want spend night with me? meet me here https://t.co/9dWtgCu5GZ#8CGUdu5BP4 https://t.co/MWkpi24Nkw"
739131055152758788,2016-06-04 16:25:50 +0000,mehmetkoksal,RT @direkt36: Prezi on @direkt36 investigation into waste of #Hungary #EU funds by @andraspe at #EIJC16 https://t.co/c94DCiBpcd https://t.co/mPOq3IqMjF
739130850449690624,2016-06-04 16:25:01 +0000,mehmetkoksal,RT @FrejaWedenborg: Thanks for a great turnout at the crypto workshop at #EIJC16! cryptoguide.dk is now updated w slides&tools in English :) @aslakransby
739130031008419840,2016-06-04 16:21:46 +0000,roryireland,At #EIJC16? Umbrella App has free physical and digital security lessons and checklists for journalists in the field https://t.co/4kDMrEXalK
739128651548110848,2016-06-04 16:16:17 +0000,journalinks,RT @meeussjes: @Defensie_BE onderaan transparantielijst over eigen bombardementen Syrië/Irak. #EIJC16 @airwars #burgerslachtoffers https://t.co/GfgWDe2Nx3
739128599605878784,2016-06-04 16:16:05 +0000,data_meining,RT @nrecherche: … another Lightning Talk at #EIJC16: @datentaeterin & @daten_drang present @journocode https://t.co/WbRjrHhQGP … https://t.co/xfNRsGj1sv
739127168677105664,2016-06-04 16:10:23 +0000,nelsonmau,"RT @cijournalism: ""Data Journalism is here to stay and global collaboration is the only way"" great keynote from @cabralens #EIJC16 https://t.co/SdqKmNGX8z"
739126950518751232,2016-06-04 16:09:31 +0000,willemstaes,RT @meeussjes: @Defensie_BE onderaan transparantielijst over eigen bombardementen Syrië/Irak. #EIJC16 @airwars #burgerslachtoffers https://t.co/GfgWDe2Nx3
739125383455477761,2016-06-04 16:03:18 +0000,aslakransby,RT @FrejaWedenborg: Thanks for a great turnout at the crypto workshop at #EIJC16! cryptoguide.dk is now updated w slides&tools in English :) @aslakransby
739125307689537536,2016-06-04 16:03:00 +0000,FrejaWedenborg,Thanks for a great turnout at the crypto workshop at #EIJC16! cryptoguide.dk is now updated w slides&tools in English :) @aslakransby
739124357474193408,2016-06-04 15:59:13 +0000,lemoine_vincent,"RT @DDJ_Tools: How tagging & #annotation helps #investigative #journalism to search, collaborate & together find more: https://t.co/VDSyKrz0qG #ddj #EIJC16"
739123740794101760,2016-06-04 15:56:46 +0000,martiorosz,RT @journalismfund: #TTIP! NL journo Frank Mulder and @correctiv_org's @martiorosz share how they managed to bring a very complex subject to the people #EIJC16
739122526295560192,2016-06-04 15:51:57 +0000,nelsonmau,RT @paulbradshaw: My colleague @YemisiOgunleye is tweeting from #EIJC16 today https://t.co/CbWSY5VqFc
739122414966218752,2016-06-04 15:51:30 +0000,MWaseem28,RT @FrejaWedenborg: Mind-blowing keynote by @cabralens on lessons from @ICIJorg & #PanamaPapers at #EIJC16 - incl. Star Trek references! https://t.co/8dBAEkQGXN
739120509590343680,2016-06-04 15:43:56 +0000,DigitalCoeliac,"RT @maartenzam: Very promising: Onodo, Network analysis for everyone https://t.co/KuQmd960Ex Presented by @civio at #EIJC16 https://t.co/LgODMMoAah"
739119222752698368,2016-06-04 15:38:49 +0000,KwintRum,Keep an eye on the @journalismfund feed and website for reports and interviews of #EIJC16! @csgallego https://t.co/dbsjtGs15n
739119194604744704,2016-06-04 15:38:42 +0000,JesseDrucker,RT @PauGuisado: 'Do not trust any professor just because they have a title. And don't trust the first thing you read: read deeper'. #EIJC16
739119016137101312,2016-06-04 15:38:00 +0000,Remrow,RT @maartenzam: My lessons from ‘How to build a data desk’ #EIJC16 wth @helenabengtsson @chelm @garcirrey @alphoenix @DataKatrine https://t.co/5SaY7nvq0D
739117714560679936,2016-06-04 15:32:49 +0000,journalismfund,RT @direkt36: Prezi on @direkt36 investigation into waste of #Hungary #EU funds by @andraspe at #EIJC16 https://t.co/c94DCiBpcd https://t.co/mPOq3IqMjF
739117656494723072,2016-06-04 15:32:36 +0000,AljazVindis,RT @maartenzam: My lessons from ‘How to build a data desk’ #EIJC16 wth @helenabengtsson @chelm @garcirrey @alphoenix @DataKatrine https://t.co/5SaY7nvq0D
